author,title,description,url,language,country,published_at
D-e_v@IS,"Baidu, the Chinese search giant, to Create ChatGPT-style Bot","Baidu Inc. is going to launch an artificial intelligence chatbot service similar to OpenAI&#8217;s ChatGPT, potentially becoming China&#8217;s most prominent entry in a race sparked by the tech boom. According to sources, China&#8217;s top search engine provider aims to launch a ChatGPT-style programme in March, initially integrating it inside its major search services. The unnamed [&#8230;]The post Baidu, the Chinese search giant, to Create ChatGPT-style Bot appeared first on Insights Success.",https://insightssuccess.com/baidu-the-chinese-search-giant-to-create-chatgpt-style-bot/,en,us,2023-01-30T07:32:24+00:00
,Teachers' concern that OpenAi's ChatGPT is 'so powerful' it could end homework,Staff at Alleyn's School in southeast London say they are being forced to rethink their practises after a test English essay produced by AI bot ChatGPT was awarded an A* grade,https://www.dailymail.co.uk/news/article-11691571/Teachers-concern-OpenAis-ChatGPT-powerful-end-homework.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,en,gb,2023-01-30T10:06:00+00:00
Web Desk,ChatGPT owner launches ‘imperfect’ tool to detect AI-generated text,"A software tool for identifying text generated by artificial intelligence has been released by OpenAI, the company behind the well-known chatbot ChatGPT, the company announced in a blog post on Wednesday. ChatGPT is a free program that responds to a prompt by writing articles, essays, jokes, and even poetry. Since its launch in November, it [...]The post ChatGPT owner launches &#8216;imperfect&#8217; tool to detect AI-generated text appeared first on PKKH.tv.",https://www.pakistankakhudahafiz.com/chatgpt-owner-launches-imperfect-tool-to-detect-ai-generated-text/,en,us,2023-02-02T05:39:18+00:00
Jon Fingas,"Microsoft is holding a press event tomorrow, with ChatGPT expected to feature heavily","You might not have to wait long to see how Microsoft and OpenAI deepen their relationship. Microsoft has confirmed plans for an event tomorrow (invitations were sent out last week) at its Redmond headquarters at 1PM Eastern. The company will only say that chief Satya Nadella will share details on some ""exciting projects,"" but it&#39;s expected to show its integration of ChatGPT into Bing and other uses of the conversational AI technology.The news comes shortly after Google offered a first look at Bard, its take on a ChatGPT-style service.Developing...",https://www.engadget.com/microsoft-surprise-event-bing-chatgpt-201414297.html?src=rss,en,us,2023-02-06T20:14:14+00:00
Matt Milano,Google Invests $300M in AI Startup Founded by OpenAI VP,"WebProNewsGoogle Invests $300M in AI Startup Founded by OpenAI VPGoogle is continuing its quest to come up with an answer to OpenAI's ChatGPT, investing in a rival founded by a former OpenAI VP.Google Invests $300M in AI Startup Founded by OpenAI VPMatt Milano",https://www.webpronews.com/google-invests-300m-in-ai-startup-founded-by-openai-vp/,en,us,2023-02-03T17:26:33+00:00
Washington Post,"What to know about OpenAI, the company behind ChatGPT","A popular tool that can respond to questions in eerily human ways, called ChatGPT, has captured the internet&#8217;s attention as people use it write song lyrics, essays, TV episodes and more. Now, OpenAI, the company behind the chatbot, is rocketing into the mainstream. Microsoft is reportedly investing up to $10 billion in the company, hoping [&#8230;]",https://torontosun.com/news/world/what-to-know-about-openai-the-company-behind-chatgpt,en,us,2023-02-06T19:47:31+00:00
Chris Smith,Microsoft Bing search 'reinvented' as web's AI-powered copilot,"Microsoft has announced a new era of Microsoft Bing search engine with an OpenAI-powered copilot to sit within Bing and the company&#8217;s Edge browser. At a special event on Tuesday, Microsoft said the integration of the artificial intelligence-powered tool will result in better quality and more complete search results, as well as the ability to [&#8230;]The post Microsoft Bing search &#039;reinvented&#039; as web&#039;s AI-powered copilot appeared first on Trusted Reviews.",https://www.trustedreviews.com/news/microsoft-bing-search-reinvented-as-webs-ai-powered-copilot-4300647?utm_source=keystone&utm_medium=keystone_core_reviews_rss&utm_campaign=trusted+reviews,en,us,2023-02-07T19:38:40+00:00
"Bernard ""Beanz"" Smalls","Microsoft Partners With OpenAI To Resurrect Bing, While Google Readies It ChatGPT Rival, Bard","ChatGPT, the OpenAi-developed chatbot that has some folks in the education sector spooked is not going away anytime soon. Two of tech&#8217;s biggest companies, Google and Microsoft, are also jumping into the game. Today in a huge surprise, Microsoft announced the arrival of its ChatGPT-powered version of its less-than-popular search engine Bing during a surprise [&#8230;]The post Microsoft Partners With OpenAI To Resurrect Bing, While Google Readies It ChatGPT Rival, Bard appeared first on The Latest Hip-Hop News, Music and Media | Hip-Hop Wired.",https://hiphopwired.com/1351182/microsoft-google-openai-chatgpt-rivals-details/,en,us,2023-02-07T22:00:31+00:00
,AI startup Cohere in talks to raise funding at $6 billion plus valuation -sources,"(marketscreener.com) Cohere, an AI foundation model company that competes with Microsoft-backed OpenAI, is in talks to raise hundreds of millions of dollars in a funding round that could value the startup at more than $6 billion, sources told Reuters, in the latest sign of the investment frenzy around generative AI. Toronto-based Cohere, established...https://www.marketscreener.com/quote/stock/ALPHABET-INC-24203373/news/AI-startup-Cohere-in-talks-to-raise-funding-at-6-billion-plus-valuation-sources-42908879/?utm_medium=RSS&utm_content=20230206",https://www.marketscreener.com/quote/stock/ALPHABET-INC-24203373/news/AI-startup-Cohere-in-talks-to-raise-funding-at-6-billion-plus-valuation-sources-42908879/?utm_medium=RSS&utm_content=20230206,en,us,2023-02-06T12:03:33+00:00
,Microsoft to infuse software with more AI as Google rivalry heats up,"(marketscreener.com) Microsoft Corpis revamping its Bing search engine with artificialintelligence, the company said on Tuesday, in one of its biggestefforts yet to lead a new wave of technology and reshape howpeople gather information. Microsoft is staking its future on AI through billions ofdollars of investment. Working with the startup OpenAI,...https://www.marketscreener.com/quote/stock/MICROSOFT-CORPORATION-4835/news/Microsoft-to-infuse-software-with-more-AI-as-Google-rivalry-heats-up-42922082/?utm_medium=RSS&utm_content=20230207",https://www.marketscreener.com/quote/stock/MICROSOFT-CORPORATION-4835/news/Microsoft-to-infuse-software-with-more-AI-as-Google-rivalry-heats-up-42922082/?utm_medium=RSS&utm_content=20230207,en,us,2023-02-07T18:12:06+00:00
,"Silicon Valley Giants Battle for AI Supremacy: Microsoft, Google, Baidu Compete in AI Race","Silicon Valley’s tech giants are poised for a fight over AI superiority. Here’s what you need to know: The emergence of ChatGPT has led to an arms race in the tech sector as Microsoft and Google scramble to integrate generative artificial intelligence into their search platforms. Microsoft revealing it will begin using OpenAI’s ChatGPT in some of its products, including its Bing search engine, as the company looks to capitalize on ChatGPT’s popularity to take market share away from Google. “It is definitely a new day for search. The opportunity to bring and infuse AI and new chat-like...",https://finance.yahoo.com/video/silicon-valley-giants-battle-ai-110035137.html?.tsrc=rss,en,cn,2023-02-08T11:00:35+00:00
,Microsoft rolls out Teams Premium with OpenAI superpowers,"You&rsquo;d think that collaborative chatting programs like Slack or Teams wouldn&rsquo;t need too many bells and whistles in order to be effective tools. Microsoft would beg to differ. The new Teams Premium tier not only includes the usual unlimited messages and better organizational tools, it&rsquo;s adding exclusive powers enabled by OpenAI&rsquo;s GPT 3.5 language model. The new tier will be $10 per month per user starting on June 30th, but you can get a cheaper preview for $7 until then. What does the fancy AI do? It&rsquo;s mostly one headline feature, &ldquo;intelligent recap.&rdquo...",https://www.pcworld.com/article/1501191/microsoft-includes-ai-powers-in-the-new-teams-premium.html,en,us,2023-02-02T15:28:38+00:00
"Kevin Roose, Casey Newton, Davis Land, Paula Szuchman, Alyssa Moxley, Dan Powell, Elisheba Ittoop, Marion Lozano, Sophia Lanman and Rowan Niemisto",TikTok’s “Transparency and Accountability Center” + ChatGPT’s Origin Story + Kevin Systrom’s Artifact App,"Casey becomes a content moderator, Kevin breaks some news on OpenAI and Instagram’s co-founder reveals his new project.",https://www.nytimes.com/2023/02/03/podcasts/hard-fork-tiktok-openai-artifact.html,en,us,2023-02-03T10:00:09+00:00
Rahmah Ghazali,"ChatGPT: What is the AI chatbot, how to use it, are the answers always correct and where is it banned",ChatGPT is the most recent artificial intelligence technology from OpenAI that can assist with essay writing and even music composition.,https://www.blackpoolgazette.co.uk/read-this/chatgpt-what-is-the-ai-chatbot-how-to-use-it-are-the-answers-always-correct-and-where-is-it-banned-4015902,en,uk,2023-02-06T14:05:35+00:00
Rahmah Ghazali,"ChatGPT: What is the AI chatbot, how to use it, are the answers always correct and where is it banned",ChatGPT is the most recent artificial intelligence technology from OpenAI that can assist with essay writing and even music composition.,https://www.biggleswadetoday.co.uk/read-this/chatgpt-what-is-the-ai-chatbot-how-to-use-it-are-the-answers-always-correct-and-where-is-it-banned-4015902,en,uk,2023-02-06T14:05:35+00:00
Rahmah Ghazali,"ChatGPT: What is the AI chatbot, how to use it, are the answers always correct and where is it banned",ChatGPT is the most recent artificial intelligence technology from OpenAI that can assist with essay writing and even music composition.,https://www.hartlepoolmail.co.uk/read-this/chatgpt-what-is-the-ai-chatbot-how-to-use-it-are-the-answers-always-correct-and-where-is-it-banned-4015902,en,uk,2023-02-06T14:05:35+00:00
"Grant Coursey, Staff Reporter",ChatGPT: How AI impacts academic integrity,Chat Generative Pre-trained Transformer is a web-based chatbot designed by OpenAI that is powerful enough to churn out a whole essay in a matter of seconds when given the right prompts. The quality of the writing created by ChatGPT has raised concerns about its use for academic misconduct at universities around the globe. Three weeks...,https://collegian.com/articles/news/2023/02/category-news-chatgpt-and-academic-integrity-how-artificial-intelligence-impacts-academic-honesty/,en,us,2023-02-07T07:01:23+00:00
Mariella Moon,ChatGPT reportedly reached 100 million users in January,"ChatGPT has been growing at a rate much, much faster than TikTok or any other popular app or service. According to a new study by analytics firm UBS (via Reuters and CBS), the OpenAI-developed chatbot was on pace to reach over 100 million monthly active users in January. The chatbot only became available to the public on November 30th last year, but its rise to fame has apparently been meteoric. Within its first month of availability, it already boasted 57 million monthly active users, the study said. By January, it was already being visited by around 13 million individual users a day.&nbsp;In...",https://www.engadget.com/chatgpt-100-million-users-january-130619073.html?src=rss,en,us,2023-02-02T13:06:19+00:00
Staff,Microsoft Doesn’t Want Employees Sharing Sensitive Data With ChatGPT,"WebProNewsMicrosoft Doesn&#8217;t Want Employees Sharing Sensitive Data With ChatGPTMicrosoft may be going all-in on OpenAI tech and ChatGPT, but that doesn't mean the company wants sensitive information shared with it.Microsoft Doesn&#8217;t Want Employees Sharing Sensitive Data With ChatGPTStaff",https://www.webpronews.com/microsoft-doesnt-want-employees-sharing-sensitive-data-with-chatgpt/,en,us,2023-02-02T19:08:15+00:00
2016012,Naver to introduce search GPT in first half of year,"South Korean internet giant Naver said Friday it will launch its own generative pretrained transformer, or GPT, for search functions by the end of June, as OpenAI&#039;s artificial intelligence chatbot ChatGPT has been taking the tech world by storm. &ldquo;We are gearing up to handle new search trends, such as the generative AI that is gaining a lot of attention now. And we plan to introduce our own upgraded version of SearchGPT in the first half of this year,&rdquo; Chief Executive Officer Cho",https://www.koreaherald.com/view.php?ud=20230203000553,en,us,2023-02-03T08:40:16+00:00
Rahmah Ghazali,"ChatGPT: What is the AI chatbot, how to use it, are the answers always correct and where is it banned",ChatGPT is the most recent artificial intelligence technology from OpenAI that can assist with essay writing and even music composition.,https://www.miltonkeynes.co.uk/read-this/chatgpt-what-is-the-ai-chatbot-how-to-use-it-are-the-answers-always-correct-and-where-is-it-banned-4015902,en,uk,2023-02-06T14:18:47+00:00
Fionna Agomuoh,ChatGPT: how to use the viral AI text generator that’s taken the world by storm,The ChatGPT chatbot by OpenAI is now available for testing as a free research preview.,https://www.digitaltrends.com/computing/how-to-use-openai-chatgpt-text-generation-chatbot/,en,us,2023-02-06T16:34:38+00:00
"Michael J. Ahn, Yu-Che Chen",Building guardrails for ChatGPT,"The recent release of GPT-3, the state-of-the-art language model developed by OpenAI, has sparked a renewed interest in chatbot technology. One of the most notable developments in this area is ChatGPT, a chatbot that utilizes GPT-3 to perform a wide range of language tasks, such as text generation, language translation, text summarization, and conversation simulation.&hellip;",https://www.brookings.edu/blog/techtank/2023/02/07/building-guardrails-for-chatgpt/,en,us,2023-02-07T20:58:54+00:00
,OPENAI CEO SAYS THIS IS BEGINNING OF NEW ERA WITH AI&#8230;,(marketscreener.com) OPENAI CEO SAYS THIS IS BEGINNING OF NEW ERA WITH AI https://www.marketscreener.com/news/latest/OPENAI-CEO-SAYS-THIS-IS-BEGINNING-OF-NEW-ERA-WITH-AI-8230--42922184/?utm_medium=RSS&utm_content=20230207,https://www.marketscreener.com/news/latest/OPENAI-CEO-SAYS-THIS-IS-BEGINNING-OF-NEW-ERA-WITH-AI-8230--42922184/?utm_medium=RSS&utm_content=20230207,en,us,2023-02-07T18:38:18+00:00
"Dina Bass, Bloomberg",Microsoft just unveiled its big play for A.I. with a new and improved search engine: 'This technology is going to reshape pretty much every software category',"Microsoft recently announced a multibillion-dollar investment in OpenAI, solidifying ties with the startup to get the inside track on its artificial intelligence models like ChatGPT and Dall-E.",https://fortune.com/2023/02/07/microsoft-search-engine-bing-ai-chatgpt-openai/,en,us,2023-02-07T19:19:55+00:00
,ShiftPixy Leverages OpenAI/ChatGPT to Streamline Recruiting and Staffing Opportunity Matching,(marketscreener.com) &ndash; Also Elevating Digital Food Ordering and Customer Engagement for Digital Food Brands &ndash;https://www.marketscreener.com/quote/stock/SHIFTPIXY-INC-32502948/news/ShiftPixy-Leverages-OpenAI-ChatGPT-to-Streamline-Recruiting-and-Staffing-Opportunity-Matching-43077125/?utm_medium=RSS&utm_content=20230224,https://www.marketscreener.com/quote/stock/SHIFTPIXY-INC-32502948/news/ShiftPixy-Leverages-OpenAI-ChatGPT-to-Streamline-Recruiting-and-Staffing-Opportunity-Matching-43077125/?utm_medium=RSS&utm_content=20230224,en,us,2023-02-24T13:01:02+00:00
Kyle Wiggers,Can AI really be protected from text-based attacks?,"When Microsoft released Bing Chat, an AI-powered chatbot co-developed with OpenAI, it didn&#8217;t take long before users found creative ways to break it. Using carefully tailored inputs, users were able to get it to profess love, threaten harm, defend the Holocaust and invent conspiracy theories. Can AI ever be protected from these malicious prompts? What [&#8230;]Can AI really be protected from text-based attacks? by Kyle Wiggers originally published on TechCrunch",https://techcrunch.com/2023/02/24/can-language-models-really-be-protected-from-text-based-attacks/,en,us,2023-02-24T17:30:56+00:00
Brian Wang,What to Expect for OpenAI GPT-4 and GPT-5,"OpenAI CEO Sam Altman was interviewed about GPT4 and other AI topics at a conference one year ago. GPT-4 is coming, but currently the focus is on coding and that&#8217;s also where the available compute is going. GPT-4 will be a text model (as opposed to multi-modal). It will not be much bigger than GPT-3, ... Read more",https://www.nextbigfuture.com/2023/02/what-to-expect-for-openai-gpt-4-and-gpt-5.html,en,us,2023-02-25T02:07:43+00:00
,Woman talks to her past self in 'trippy' conversation,Michelle Huang used material from 10 years' worth of entries and combined it with the OpenAI language model Generative Pre-trained Transformer 3 (GPT-3).,https://www.dailymail.co.uk/sciencetech/article-11491323/Woman-talks-past-self-trippy-conversation.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,en,uk,2022-12-01T17:30:36+00:00
"Siladitya Ray, Forbes Staff",Musk Reportedly Wants To Build OpenAI Rival—Here's Why He's Criticized ChatGPT,Musk and some conservatives claim ChatGPT’s guardrails around controversial content is a sign of political bias.,https://www.forbes.com/sites/siladityaray/2023/02/28/musk-reportedly-wants-to-build-openai-rival-heres-why-hes-criticized-chatgpt/,en,us,2023-02-28T14:27:16+00:00
Industry News,AlertEnterprise reveals Guardian AI Chatbot powered by OpenAI ChatGPT,"AlertEnterprise revealed the launch of its Guardian AI Chatbot powered by OpenAI ChatGPT. The Guardian AI Chatbot is developed with the world-renowned GPT-3 platform created by OpenAI and is designed to instantly deliver security operators the physical access and security insights that matter most with quick questions and prompts. “Physical security and access control systems have always contained a tremendous wealth of data but, until now, accessing it was a tedious and manual process,” said &#8230; More &#8594;The post AlertEnterprise reveals Guardian AI Chatbot powered by OpenAI ChatGPT...",https://www.helpnetsecurity.com/2023/03/01/alertenterprise-guardian-ai-chatbot/,en,us,2023-03-01T03:30:46+00:00
Jak Connor,AI produces 'cursed' results when asked for simple art ideas,"Several individuals online have requested that OpenAI's ChatGPT provide them with new designs for crochet patterns, and the results are questionable. Continue reading at TweakTown >",https://www.tweaktown.com/news/90547/ai-produces-cursed-results-when-asked-for-simple-art-ideas/index.html,en,us,2023-03-01T07:31:02+00:00
Newsfile,Railtown AI Technologies Inc. Announces the Launch of AI Generated Release Notes,"Burnaby, British Columbia&#8211;(Newsfile Corp. &#8211; February 8, 2023) &#8211; Railtown AI Technologies Inc. (CSE: RAIL) (&#8220;Railtown&#8221; or the &#8220;Company&#8220;) is pleased to announce the launch of “RailNotes for Release Notes”, a first of its kind application using Railtown&#8217;s own proprietary AI engine along with Generative AI through OpenAI&#8217;s API to automatically create Release Notes. Release [&#8230;]",https://www.thewhig.com/newsfile/154065-railtown-ai-technologies-inc-announces-the-launch-of-ai-generated-release-notes,en,us,2023-02-08T13:10:22+00:00
"Kevin Roose, Casey Newton, Davis Land, Paula Szuchman, Jen Poyant, Alyssa Moxley, Dan Powell, Elisheba Ittoop, Marion Lozano and Rowan Niemisto",Bing’s Revenge and Google’s A.I. Face-Plant,"OpenAI’s chief executive, Sam Altman, and Microsoft’s chief technology officer, Kevin Scott, on an A.I.-powered Bing.",https://www.nytimes.com/2023/02/10/podcasts/bings-revenge-and-googles-ai-face-plant.html,en,us,2023-02-10T10:00:05+00:00
Jan Vermeulen,ChatGPT Plus available in South Africa,OpenAI has announced that premium subscriptions to its ChatGPT language model service is available in South Africa.,https://mybroadband.co.za/news/software/479947-chatgpt-plus-available-in-south-africa.html,en,za,2023-02-12T05:00:38+00:00
